data_generate_supplement.R log -- 2026-09-12 15:58:35
Table S1 (application sensitivity)            0.9 sec
Figure S1 (unequal dropout, alternative)      1.8 sec
Figure S2 (unequal dropout, full-data null)      0.8 sec
Figure S3 (unequal correlations)             10.9 sec
Figure S3 diagonal (rho1 = rho0)              0.4 sec
Figures S4 and S5 (effect ordering)           0.4 sec
Figure S6 (conservative dropout)              0.4 sec
Table S2 (allocation ratio)                   0.5 sec
Table S3 (null nuisance parameter)           47.7 sec
Table S4 (unequal dropout counterexample)     44.3 sec
Figure S7 (partial identification)            2.8 sec
All supplementary data written to 'data/'.
